# the columns in this file are the result of a linear regression model
# the columns include
# year: year of manufacture
# transistor_count: number of transistors reported by manufacturers in a given year
# transistor_count_predicted: linear regression model = exp(-666.33)*exp(0.34*year)
# transistor_Moores_law: Moores law =exp(-675.38)*exp(0.35*year)
# year:, transistor_count:, transistor_count_predicted:, transistor_Moores_law:
1.971000000000000000e+03,2.250000000000000000e+03,1.130514785642591733e+03,2.249999999999916326e+03
1.972000000000000000e+03,3.500000000000000000e+03,1.590908400344571419e+03,3.181980515339620069e+03
1.973000000000000000e+03,2.500000000000000000e+03,2.238793840142739555e+03,4.500000000000097316e+03
1.974000000000000000e+03,3.000000000000000000e+03,3.150525735847200394e+03,6.363961030678889983e+03
1.974000000000000000e+03,4.100000000000000000e+03,3.150525735847200394e+03,6.363961030678889983e+03
1.974000000000000000e+03,6.000000000000000000e+03,3.150525735847200394e+03,6.363961030678889983e+03
1.974000000000000000e+03,8.000000000000000000e+03,3.150525735847200394e+03,6.363961030678889983e+03
1.975000000000000000e+03,4.528000000000000000e+03,4.433553565433564472e+03,8.999999999999699867e+03
1.975000000000000000e+03,4.000000000000000000e+03,4.433553565433564472e+03,8.999999999999699867e+03
1.975000000000000000e+03,5.000000000000000000e+03,4.433553565433564472e+03,8.999999999999699867e+03
1.976000000000000000e+03,5.000000000000000000e+03,6.239084795884999949e+03,1.272792206135852757e+04
1.976000000000000000e+03,8.500000000000000000e+03,6.239084795884999949e+03,1.272792206135852757e+04
1.976000000000000000e+03,6.500000000000000000e+03,6.239084795884999949e+03,1.272792206135852757e+04
1.976000000000000000e+03,8.000000000000000000e+03,6.239084795884999949e+03,1.272792206135852757e+04
1.977000000000000000e+03,7.000000000000000000e+03,8.779904993983471286e+03,1.800000000000045475e+04
1.978000000000000000e+03,9.000000000000000000e+03,1.235545504273617189e+04,2.545584412271565452e+04
1.978000000000000000e+03,2.900000000000000000e+04,1.235545504273617189e+04,2.545584412271565452e+04
1.979000000000000000e+03,1.750000000000000000e+04,1.738712086493929019e+04,3.599999999999893043e+04
1.979000000000000000e+03,2.900000000000000000e+04,1.738712086493929019e+04,3.599999999999893043e+04
1.979000000000000000e+03,6.800000000000000000e+04,1.738712086493929019e+04,3.599999999999893043e+04
1.980000000000000000e+03,5.000000000000000000e+04,2.446789462033919335e+04,5.091168824543429946e+04
1.981000000000000000e+03,1.150000000000000000e+04,3.443226005055519636e+04,7.200000000000209548e+04
1.981000000000000000e+03,4.500000000000000000e+04,3.443226005055519636e+04,7.200000000000209548e+04
1.982000000000000000e+03,5.500000000000000000e+04,4.845453810331245040e+04,1.018233764908629964e+05
1.982000000000000000e+03,1.340000000000000000e+05,4.845453810331245040e+04,1.018233764908629964e+05
1.984000000000000000e+03,6.300000000000000000e+04,9.595603950548690045e+04,2.036467529817379254e+05
1.984000000000000000e+03,1.900000000000000000e+05,9.595603950548690045e+04,2.036467529817379254e+05
1.985000000000000000e+03,2.750000000000000000e+05,1.350334124345869059e+05,2.880000000000094296e+05
1.985000000000000000e+03,2.500000000000000000e+04,1.350334124345869059e+05,2.880000000000094296e+05
1.985000000000000000e+03,1.600000000000000000e+04,1.350334124345869059e+05,2.880000000000094296e+05
1.986000000000000000e+03,1.100000000000000000e+05,1.900247505805676919e+05,4.072935059634535573e+05
1.986000000000000000e+03,3.750000000000000000e+05,1.900247505805676919e+05,4.072935059634535573e+05
1.986000000000000000e+03,2.700000000000000000e+04,1.900247505805676919e+05,4.072935059634535573e+05
1.986000000000000000e+03,9.100000000000000000e+04,1.900247505805676919e+05,4.072935059634535573e+05
1.987000000000000000e+03,3.850000000000000000e+05,2.674108961787449080e+05,5.759999999999871943e+05
1.987000000000000000e+03,7.300000000000000000e+05,2.674108961787449080e+05,5.759999999999871943e+05
1.987000000000000000e+03,2.730000000000000000e+05,2.674108961787449080e+05,5.759999999999871943e+05
1.987000000000000000e+03,5.530000000000000000e+05,2.674108961787449080e+05,5.759999999999871943e+05
1.988000000000000000e+03,1.800000000000000000e+05,3.763119655552496552e+05,8.145870119268621784e+05
1.988000000000000000e+03,2.500000000000000000e+05,3.763119655552496552e+05,8.145870119268621784e+05
